location,Date,city,country,Lat,Long
Northumberland,,Northumberland,GB,[55.6678,-2.0895
Northumberland,,Northumberland,GB,[55.4151,-2.1601
Northumberland,,Northumberland,GB,[55.4776,-1.7149
Northumberland,,Northumberland,GB,[55.143,-2.3462
Northumberland,,Northumberland,GB,[54.9414,-2.2671
Northumberland,,Northumberland,GB,[54.8349,-2.2653
Northumberland,,Northumberland,GB,[55.0892,-1.7723
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[55.1064,-2.7469
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[54.8101,-2.5991
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[54.5217,-2.637
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[54.3876,-2.7225
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[54.2819,-3.1484
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[54.4004,-3.2462
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[54.5662,-3.3285
North Cumbria & Morecambe Bay,,North Cumbria & Morecambe Bay,GB,[54.8417,-3.2044
County Durham,,County Durham,GB,[54.8085,-1.3702
County Durham,,County Durham,GB,[54.6816,-1.4321
County Durham,,County Durham,GB,[54.5577,-1.5758
County Durham,,County Durham,GB,[54.5406,-2.0097
County Durham,,County Durham,GB,[54.7208,-1.8779
County Durham,,County Durham,GB,[54.7795,-2.1856
County Durham,,County Durham,GB,[54.857,-1.7597
County Durham,,County Durham,GB,[54.8064,-1.5948
"Newcastle, Tyneside & Sunderland",,"Newcastle, Tyneside & Sunderland",GB,[55.0526,-1.4638
"Newcastle, Tyneside & Sunderland",,"Newcastle, Tyneside & Sunderland",GB,[54.9872,-1.468
"Newcastle, Tyneside & Sunderland",,"Newcastle, Tyneside & Sunderland",GB,[54.8708,-1.4692
"Newcastle, Tyneside & Sunderland",,"Newcastle, Tyneside & Sunderland",GB,[54.9529,-1.6149
"Newcastle, Tyneside & Sunderland",,"Newcastle, Tyneside & Sunderland",GB,[55.0015,-1.7028
"Newcastle, Tyneside & Sunderland",,"Newcastle, Tyneside & Sunderland",GB,[55.0472,-1.6151
"Newcastle, Tyneside & Sunderland",,"Newcastle, Tyneside & Sunderland",GB,[55.0445,-1.4674
Tees Valley,,Tees Valley,GB,[54.6933,-1.2403
Tees Valley,,Tees Valley,GB,[54.6242,-1.287
Tees Valley,,Tees Valley,GB,[54.5916,-1.3461
Tees Valley,,Tees Valley,GB,[54.5638,-1.2966
Tees Valley,,Tees Valley,GB,[54.5064,-1.3118
Tees Valley,,Tees Valley,GB,[54.5517,-1.2142
Tees Valley,,Tees Valley,GB,[54.5995,-1.0885
Tees Valley,,Tees Valley,GB,[54.5462,-1.0576
Tees Valley,,Tees Valley,GB,[54.5437,-0.9177
York,,York,GB,[54.4335,-2.0829
York,,York,GB,[54.267,-2.1296
York,,York,GB,[54.087,2.1681
York,,York,GB,[54.2751,-1.7861
York,,York,GB,[54.04513,-1.7257
York,,York,GB,[54.4493,-1.5754
York,,York,GB,[54.3694,-1.3776
York,,York,GB,[54.01645,-1.1232
York,,York,GB,[53.8239,-1.1589
York,,York,GB,[54.3701,-1.3557
York,,York,GB,[54.4406,-0.9835
York,,York,GB,[54.3927,-0.5905
York,,York,GB,[54.2051,-0.7499
Hull,,Hull,GB,[54.1203,-0.323
Hull,,Hull,GB,[54.00748,-0.5703
Hull,,Hull,GB,[53.9671,-0.2735
Hull,,Hull,GB,[53.904,-0.7764
Hull,,Hull,GB,[53.8652,-0.4384
Hull,,Hull,GB,[53.8052,-0.246
Hull,,Hull,GB,[53.7581,-0.7984
Hull,,Hull,GB,[53.5989,-0.7039
Hull,,Hull,GB,[53.6612,-0.4528
Hull,,Hull,GB,[53.565,-0.1147
Norfolk,,Norfolk,GB,[52.947,0.5815
Norfolk,,Norfolk,GB,[52.8227,0.5101
Norfolk,,Norfolk,GB,[52.6714,0.4249
Norfolk,,Norfolk,GB,[52.8824,0.9553
Norfolk,,Norfolk,GB,[52.6881,0.7739
Norfolk,,Norfolk,GB,[52.5179,0.7464
Norfolk,,Norfolk,GB,[52.7928,1.2576
Norfolk,,Norfolk,GB,[52.6847,1.2796
Norfolk,,Norfolk,GB,[52.5012,1.1724
Norfolk,,Norfolk,GB,[52.6747,1.5379
Kernow,,Kernow,GB,[50.1996,-5.4921
Kernow,,Kernow,GB,[50.1292,-5.231
Kernow,,Kernow,GB,[50.34,-5.0881
Kernow,,Kernow,GB,[50.5203,-4.9205
Kernow,,Kernow,GB,[50.4224,-4.7941
Kernow,,Kernow,GB,[50.6789,-4.6594
Kernow,,Kernow,GB,[50.6005,-4.4753
Kernow,,Kernow,GB,[50.4556,-4.4616
Devon,,Devon,GB,[51.0005,-4.3596
Devon,,Devon,GB,[50.8135,-4.3047
Devon,,Devon,GB,[50.6187,-4.0629
Devon,,Devon,GB,[51.0075,-4.03
Devon,,Devon,GB,[50.8343,-3.7718
Devon,,Devon,GB,[50.8031,-3.519
Devon,,Devon,GB,[51.2385,-3.986
Devon,,Devon,GB,[51.0593,-3.6729
Devon,,Devon,GB,[50.86,-3.2333
Somerset,,Somerset,GB,[51.2088,-3.616
Somerset,,Somerset,GB,[51.121,-3.4373
Somerset,,Somerset,GB,[51.0606,-3.1926
Somerset,,Somerset,GB,[51.007,-2.9727
Somerset,,Somerset,GB,[50.95,-2.7087
Somerset,,Somerset,GB,[51.1933,-3.2063
Somerset,,Somerset,GB,[51.1348,-2.8105
Somerset,,Somerset,GB,[51.0986,-2.499
Somerset,,Somerset,GB,[51.0951,-2.5053
Somerset,,Somerset,GB,[51.2484,-2.5108
Dorset,,Dorset,GB,[50.8328,-2.807842914
Dorset,,Dorset,GB,[50.7703,-2.5631
Dorset,,Dorset,GB,[50.6886,-2.1397
Dorset,,Dorset,GB,[50.935,-2.5576
